status,product_area,response,justification,request_type
escalated,hackerrank/billing,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,claude/general,"Based on the support documentation: --- title: ""Claude Enterprise Analytics API reference guide"" title_slug: ""claude-enterprise-analytics-api-reference-guide"" source_url: ""https://support.claude.com/en/articles/13703965-claude-enterprise-analytics-api-reference-guide"" last_updated_iso: ""2026-04-09T14:18:22Z"" article_id: ""15825475"" breadcrumbs: - ""Team and Enterprise plans"" - ""Analytics and usage"" --- # Claude Enterprise Analytics API reference guide _Last updated: 2026-04-09T14:18:22Z_ ## Overview The Claude Enterprise Analytics API gives your organization programmatic access to engagement data for Claude and Claude Code usage within your Enterprise organization. Whether you're building internal dashboards for user activity or tracking adoption of projects, this API provides the aggregated metrics you need. For account-specific help, contact official support: https://support.claude.com/en/",Ticket routed as 'replied' based on claude corpus coverage and escalation policy.,bug
escalated,visa/fraud_disputes,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
replied,hackerrank/general,"Based on the support documentation: --- title: ""Create a Resume with Resume Builder"" title_slug: ""create-a-resume-with-resume-builder"" source_url: ""https://help.hackerrank.com/articles/9106957203-create-a-resume-with-resume-builder"" article_slug: ""9106957203-create-a-resume-with-resume-builder"" last_updated_exact: ""Mar 7, 2025, 4:17 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Additional Resources"" - ""Job Search and Applications"" --- # Create a Resume with Resume Builder _Last updated: Mar 7, 2025, 4:17 PM (Last updated 1 year ago)_ The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps. It allows you to showcase your skills, achievements, and certifications to stand out to potential employers. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,hackerrank/assessment,"Based on the support documentation: --- title: ""Download Certificate"" title_slug: ""download-certificate"" source_url: ""https://help.hackerrank.com/articles/2077861863-download-certificate"" article_slug: ""2077861863-download-certificate"" last_updated_exact: ""Mar 10, 2025, 2:47 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Certifications"" --- # Download Certificate _Last updated: Mar 10, 2025, 2:47 PM (Last updated 1 year ago)_ You can download your HackerRank certification to save, share, or add to your LinkedIn profile or social media. ## Downloading certificate To download a certificate: 1. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
escalated,visa/fraud_disputes,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
replied,claude/general,"Based on the support documentation: --- title: ""Public Vulnerability Reporting"" title_slug: ""public-vulnerability-reporting"" source_url: ""https://support.claude.com/en/articles/11427875-public-vulnerability-reporting"" last_updated_iso: ""2026-03-16T20:47:01Z"" article_id: ""12384334"" breadcrumbs: - ""Safeguards"" --- # Public Vulnerability Reporting _Last updated: 2026-03-16T20:47:01Z_ ## Help us improve AI safety by reporting universal jailbreaks This [form](https://docs.google.com/forms/d/1bjD-H30kVJAbIHnFXKzFcSjkUNjE-mwRHSF7R2uSjYM/viewform?edit_requested=true) allows you to submit universal jailbreaks for ASL-3 uses of concern (meaning elicit information related to biological threats) that you've identified. Universal jailbreaks are techniques that allow users to consistently bypass safety measures across multiple harmful queries. For account-specific help, contact official support: https://support.claude.com/en/",Ticket routed as 'replied' based on claude corpus coverage and escalation policy.,bug
escalated,claude/privacy_data,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on claude corpus coverage and escalation policy.,product_issue
escalated,visa/card_services,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
escalated,claude/privacy_data,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on claude corpus coverage and escalation policy.,product_issue
replied,unknown/general,Based on the support documentation: and paste these into the prompt one at a time. Each example demonstrates a different core capability.,Ticket routed as 'replied' based on unknown corpus coverage and escalation policy.,product_issue
replied,visa/general,"Based on the support documentation: --- title: ""Exchange Rate Calculator | Visa"" source_url: ""https://www.visa.co.in/support/consumer/travel-support/exchange-rate-calculator.html"" final_url: ""https://www.visa.co.in/support/consumer/travel-support/exchange-rate-calculator.html"" last_modified: ""2023-11-09T04:14:19.975Z"" description: ""Use Visa’s online currency exchange rate calculator to make instant and accurate conversions while traveling internationally."" --- # Exchange Rate Calculator | Visa _Last modified: 2023-11-09T04:14:19.975Z_ # Exchange Rate Calculator Use the currency calculator below to get an indication of the rate you may receive when using your Visa card to pay while travelling internationally. ------------------------------------------------------------------------ ## Let’s travel together When you travel with Visa, you get payment security, convenience and insider status for unforgettable adventures. For account-specific help, contact official support: https://www.visa.co.in/support.html",Ticket routed as 'replied' based on visa corpus coverage and escalation policy.,product_issue
replied,claude/features_usage,"Based on the support documentation: --- title: ""What is Amazon Bedrock?"" title_slug: ""what-is-amazon-bedrock"" source_url: ""https://support.claude.com/en/articles/7996918-what-is-amazon-bedrock"" last_updated_iso: ""2026-03-16T21:17:38Z"" article_id: ""7929293"" breadcrumbs: - ""Amazon Bedrock"" --- # What is Amazon Bedrock? _Last updated: 2026-03-16T21:17:38Z_ Amazon Bedrock is a fully managed service that offers a choice of high-performing foundation models (FMs) from leading AI companies like Anthropic through a single API, along with a broad set of capabilities you need to build generative AI applications with security, privacy, and responsible AI. For account-specific help, contact official support: https://support.claude.com/en/",Ticket routed as 'replied' based on claude corpus coverage and escalation policy.,bug
replied,hackerrank/account,"Based on the support documentation: data, or activity data derived from HackerRank business customers. HackerRank does not use customer data, candidate activities, user submissions, or platform interactions from HackerRank for Work assessments, coding challenges, interviews, or any other customer-associated activities for AI model training. For account-specific help, contact official support: https://support.hackerrank.com/",Ticket routed as 'replied' based on hackerrank corpus coverage and escalation policy.,product_issue
replied,claude/general,Thank you for reaching out. We could not find enough matching documentation to provide a precise answer. Please contact the official support site for your platform for further assistance.,Ticket routed as 'replied' based on claude corpus coverage and escalation policy.,product_issue
escalated,visa/card_services,Thank you for contacting us. Your request requires review by one of our human support specialists. We will get back to you as soon as possible.,Ticket routed as 'escalated' based on visa corpus coverage and escalation policy.,product_issue
